0.000000,1.000000,64
10.692000,2.000000,64
21.316999,3.000000,64
21.392000,4.000000,64
31.938999,5.000000,64
32.009998,7.000000,64
32.063999,8.000000,64
42.627998,9.000000,64
42.705002,11.000000,64
42.757000,12.000000,64
42.800999,13.000000,64
42.841999,14.000000,64
52.519001,15.000000,64
52.605999,1.000000,7
53.860001,1.000000,2
64.600998,16.000000,2
74.510002,16.062500,2
74.587997,16.125000,2
74.621002,16.187500,2
74.654999,16.250000,2
74.685997,16.312500,2
74.712997,16.375000,2
74.737000,16.500000,2
75.570999,1.000000,8
85.336998,1.000000,2
85.411003,1.000000,2
95.857002,12.000000,2
106.597000,1.000000,6
117.151001,7.000000,6
154.223999,1.000000,3
165.009003,8.000000,3
